Geschlecht,Frage,Studierende
keine Angabe,Q4.1,1
keine Angabe,Q4.7,1
keine Angabe,Q4.13,2
keine Angabe,Q4.19,1
keine Angabe,Q4.25,2
keine Angabe,Q4.31,1
keine Angabe,Q4.37,2
keine Angabe,Q4.55,1
keine Angabe,Q4.61,1
keine Angabe,Q4.67,1
keine Angabe,Q4.73,1
keine Angabe,Q4.79,1
männlich,Q4.1,68
männlich,Q4.7,11
männlich,Q4.13,53
männlich,Q4.19,22
männlich,Q4.25,9
männlich,Q4.31,20
männlich,Q4.37,2
männlich,Q4.43,29
männlich,Q4.49,18
männlich,Q4.55,16
männlich,Q4.61,2
männlich,Q4.67,3
männlich,Q4.73,17
weiblich,Q4.1,86
weiblich,Q4.7,12
weiblich,Q4.13,71
weiblich,Q4.19,57
weiblich,Q4.25,26
weiblich,Q4.31,63
weiblich,Q4.37,8
weiblich,Q4.43,20
weiblich,Q4.49,28
weiblich,Q4.55,38
weiblich,Q4.61,4
weiblich,Q4.67,14
weiblich,Q4.73,23
weiblich,Q4.79,1
